"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "TypeScript JSX", "XML", "CSS", "YAML", "Markdown", "SCSS", "comment", "blank", "total"
"d:\work\programming228\web\game-tensor\src\styles\CardAds.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 1, 53
"d:\work\programming228\web\game-tensor\src\styles\CardTag.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"d:\work\programming228\web\game-tensor\src\styles\Chat.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 189, 1, 16, 206
"d:\work\programming228\web\game-tensor\src\styles\CreateAds.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 2, 121
"d:\work\programming228\web\game-tensor\src\styles\CreateTag.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 1, 42
"d:\work\programming228\web\game-tensor\src\styles\Dialog.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 8, 51
"d:\work\programming228\web\game-tensor\src\styles\FollowModal.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 1, 59
"d:\work\programming228\web\game-tensor\src\styles\Footer.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 1, 61
"d:\work\programming228\web\game-tensor\src\styles\GameId.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 3, 180
"d:\work\programming228\web\game-tensor\src\styles\Header.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 203, 0, 9, 212
"d:\work\programming228\web\game-tensor\src\styles\Home.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 1, 67
"d:\work\programming228\web\game-tensor\src\styles\Registration.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 1, 59
"d:\work\programming228\web\game-tensor\src\styles\Rules.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 1, 27
"d:\work\programming228\web\game-tensor\src\styles\Settings.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 1, 44
"d:\work\programming228\web\game-tensor\src\styles\Sidebar.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 4, 151
"d:\work\programming228\web\game-tensor\src\styles\TagsSearch.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 1, 77
"d:\work\programming228\web\game-tensor\src\styles\UserId.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 0, 3, 166
"d:\work\programming228\web\game-tensor\src\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 260, 0, 0, 0, 0, 15, 275
"d:\work\programming228\web\game-tensor\tsconfig.json", "JSON with Comments", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"Total", "-", 12800, 67, 22, 2403, 3416, 2, 260, 21, 26, 1900, 224, 678, 21819
